Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/[short_code],7600,0,4,507.061223499666,2.0879159856121987,68382.76111500454,233.0,21.13970379787543,0.0,4,5,6,6,8,11,18,30,68000,68000,68000
POST,/api/urls,2266,0,4,396.1933584701583,2.124374994309619,68389.68324000598,104.0,6.302969579734964,0.0,4,5,6,6,8,11,18,28,68000,68000,68000
GET,/api/urls/[short_code],1513,0,4,319.74032648446797,1.7140000127255917,68375.97573897801,115.07732980832783,4.2084699797612535,0.0,4,4,5,6,7,10,16,23,68000,68000,68000
GET,/health,763,0,3,539.9245248774407,1.1363329831510782,68384.53582298825,21.0,2.1223149997077573,0.0,3,4,5,5,7,9,16,26,68000,68000,68000
,Aggregated,12142,0,4,465.0938045909509,1.1363329831510782,68389.68324000598,180.90915829352662,33.773458357079406,0.0,4,5,6,6,8,11,18,28,68000,68000,68000
